Streaming output truncated to the last 5000 lines.
{'t': 30.00000000000189, 'V': -5.632006420063428, 'n': 0.3603403589870098, 'm': 0.02606856459365084, 'h': 0.5397114418642404}
{'t': 30.01000000000189, 'V': -4.120576979816726, 'n': 0.3601220239876026, 'm': 0.026105466719843713, 'h': 0.5399896601875922}
{'t': 30.020000000001893, 'V': -2.6227504917463715, 'n': 0.3599391314641722, 'm': 0.026423041879478915, 'h': 0.5402129702802798}
{'t': 30.030000000001895, 'V': -1.1383378943884532, 'n': 0.35979311865537583, 'm': 0.027013030472555054, 'h': 0.5403806450558182}
{'t': 30.040000000001896, 'V': 0.33283612846049326, 'n': 0.35968545561847975, 'm': 0.027872220024453904, 'h': 0.5404913427384385}
{'t': 30.050000000001898, 'V': 1.7909363218499355, 'n': 0.35961763558461535, 'm': 0.029001451839594163, 'h': 0.5405431068405568}
{'t': 30.0600000000019, 'V': 3.236119938801712, 'n': 0.3595911650277314, 'm': 0.030404847568611976, 'h': 0.5405333671046967}
{'t': 30.0700000000019, 'V': 4.668540042075532, 'n': 0.35960755359695135, 'm': 0.03208919298969296, 'h': 0.5404589433582687}
{'t': 30.080000000001903, 'V': 6.088349298351561, 'n': 0.3596683040788571, 'm': 0.03406343470920403, 'h': 0.5403160544088661}
{'t': 30.090000000001904, 'V': 7.495704516408413, 'n': 0.35977490256999983, 'm': 0.036338258351215035, 'h': 0.5401003342545411}
{'t': 30.100000000001906, 'V': 8.89077218002836, 'n': 0.35992880905111396, 'm': 0.038925725961537955, 'h': 0.5398068579613896}
{'t': 30.110000000001907, 'V': 10.27373523506854, 'n': 0.36013144856349927, 'm': 0.04183895699522143, 'h': 0.5394301795281156}
{'t': 30.12000000000191, 'V': 11.644801402892549, 'n': 0.3603842031952343, 'm': 0.04509184217531628, 'h': 0.5389643838699951}
{'t': 30.13000000000191, 'V': 13.00421330478739, 'n': 0.36068840509065536, 'm': 0.04869878322813555, 'h': 0.538403154671067}
{'t': 30.140000000001912, 'V': 14.352260690260877, 'n': 0.3610453307011659, 'm': 0.052674454363356625, 'h': 0.5377398592412036}
{'t': 30.150000000001913, 'V': 15.689295062676264, 'n': 0.3614561964990776, 'm': 0.057033583604871076, 'h': 0.5369676506603241}
{'t': 30.160000000001915, 'V': 17.015746985237605, 'n': 0.36192215637878894, 'm': 0.06179075383781985, 'h': 0.5360795864101904}
{'t': 30.170000000001917, 'V': 18.33214632595564, 'n': 0.3624443009709187, 'm': 0.06696022480993638, 'h': 0.5350687614367439}
{'t': 30.180000000001918, 'V': 19.639145659520462, 'n': 0.36302365909452866, 'm': 0.07255577836301749, 'h': 0.533928452246272}
{'t': 30.19000000000192, 'V': 20.93754698539027, 'n': 0.36366120156955967, 'm': 0.07859058989783253, 'h': 0.5326522673498305}
